time,value
0.0,20.5
303.18309199999976,21.0
303.2292090000001,20.5
3640.6436750000003,20.0
4246.227782,19.5
5762.094985,19.0
4852.945907000001,18.5
4246.701343999997,20.5
303.7470009999997,26.5
303.3966930000024,23.5
303.5825020000011,21.0
303.2027119999984,20.0
303.13868699999875,19.5
606.7438000000002,24.5
303.34794300000067,25.0
303.08632099999886,22.0
303.6923390000011,20.5
303.11628199999905,20.0
606.642871,19.5
1516.8249630000028,22.0
303.82087200000024,28.0
303.0507059999982,30.5
303.19904300000053,32.0
303.72035799999867,33.0
303.15075699999943,34.0
303.259997000001,34.5
303.1968400000005,35.0
303.1807899999985,36.0
303.5942409999989,36.5
303.5898470000029,37.0
606.1049910000002,37.5
303.10971900000004,35.0
303.3209809999971,30.0
303.21522800000093,28.0
303.2291450000048,27.0
303.3687559999962,26.5
303.1413240000038,26.0
303.2634109999999,25.5
303.4048269999985,25.0
606.4775549999977,24.5
909.9704629999978,24.0
909.8689040000027,23.5
606.8611860000019,29.0
303.25464899999497,26.5
302.769401000005,25.0
303.27237199999945,24.0
607.6195260000022,23.5
1211.5598969999992,27.5
303.72578000000067,28.5
302.98480500000005,26.0
303.70077299999684,25.0
303.08123499999783,24.5
303.57637700000487,24.0
6368.332586999997,23.5
1213.2985130000015,23.0
2122.830554,22.5
3336.042011999998,23.0
303.1766889999999,23.5
1213.2618690000018,24.0
1516.1712320000006,24.5
303.250172,24.0
303.27911799999856,24.5
2122.7426449999984,25.0
2729.2445609999995,24.5
606.3506080000079,24.0
607.3197389999987,23.5
1213.2224399999977,23.0
2123.0078629999916,22.5
3639.881189000007,22.0
6976.4612329999945,21.5
6674.549152000007,21.0
303.24146499999915,21.5
303.20389999999315,21.0
6369.655244000009,20.5
6368.97726,20.0
5458.606634999989,19.5
303.17437400000927,20.0
303.36062399999355,19.5
6369.814468000011,19.0
1820.0042359999934,19.5
303.29328800000076,20.0
606.9333670000051,20.5
1516.0906629999954,21.0
606.6270430000004,21.5
303.17157599999337,21.0
303.3308360000083,21.5
1819.7630059999938,22.0
4247.379513000007,21.5
606.5085519999993,21.0
607.3890640000027,20.5
909.3018139999913,20.0
3638.8715280000033,19.5
